joint,time,target_pos,actual_pos
joint5,0.69,0.2481241673231125,0.2671718895435333
joint5,0.7,0.2427050918340683,0.2626307010650635
joint5,0.71,0.2370465099811554,0.25784391164779663
joint5,0.72,0.23115397989749908,0.2528146505355835
joint5,0.73,0.22503332793712616,0.24754635989665985
joint5,0.74,0.21869058907032013,0.2420424520969391
joint5,0.75,0.2121320366859436,0.23630686104297638
joint5,0.76,0.2053641378879547,0.23034363985061646
joint5,0.77,0.1983935534954071,0.22415737807750702
joint5,0.78,0.19122719764709473,0.21775302290916443
joint5,0.79,0.18387211859226227,0.2111358791589737
joint5,0.8,0.17633557319641113,0.20431165397167206
joint5,0.81,0.16862501204013824,0.19728654623031616
joint5,0.82,0.16074803471565247,0.19006720185279846
joint5,0.83,0.15271241962909698,0.1826605349779129
joint5,0.84,0.14452610909938812,0.1750740110874176
joint5,0.85,0.13619714975357056,0.16731533408164978
joint5,0.86,0.12773378193378448,0.1593925505876541
joint5,0.87,0.11914436519145966,0.15131406486034393
joint5,0.88,0.11043736338615417,0.1430884152650833
joint5,0.89,0.10162137448787689,0.1347244828939438
joint5,0.9,0.09270510077476501,0.12623120844364166
joint5,0.91,0.08369733393192291,0.11761768907308578
joint5,0.92,0.07460696250200272,0.10889320075511932
joint5,0.93,0.06544297188520432,0.10006698966026306
joint5,0.94,0.05621439591050148,0.09114839136600494
joint5,0.95,0.04693033918738365,0.0821467787027359
joint5,0.96,0.037599969655275345,0.0730714499950409
joint5,0.97,0.028232494369149208,0.06393172591924667
joint5,0.98,0.018837155774235725,0.054736845195293427
joint5,0.99,0.009423227980732918,0.04549602046608925
joint5,1.0,-6.293943959626491e-16,0.03621843457221985
joint5,1.01,-0.009423227980732918,0.026913179084658623
joint5,1.02,-0.018837155774235725,0.017589308321475983
joint5,1.03,-0.028232494369149208,0.008255799300968647
joint5,1.04,-0.037599969655275345,-0.0010783746838569641
joint5,1.05,-0.04693033918738365,-0.010404324159026146
joint5,1.06,-0.05621439591050148,-0.01971316896378994
joint5,1.07,-0.06544297188520432,-0.028996113687753677
joint5,1.08,-0.07460696250200272,-0.038244351744651794
joint5,1.09,-0.08369733393192291,-0.047449078410863876
joint5,1.1,-0.09270510077476501,-0.05660156160593033
joint5,1.11,-0.10162137448787689,-0.06569305807352066
joint5,1.12,-0.11043736338615417,-0.07471486181020737
joint5,1.13,-0.11914436519145966,-0.08365829288959503
joint5,1.14,-0.12773378193378448,-0.09251473098993301
joint5,1.15,-0.13619714975357056,-0.1012754812836647
joint5,1.16,-0.14452610909938812,-0.10993203520774841
joint5,1.17,-0.15271241962909698,-0.11847586929798126
joint5,1.18,-0.16074803471565247,-0.12689848244190216
joint5,1.19,-0.16862501204013824,-0.13519158959388733
joint5,1.2,-0.17633557319641113,-0.14334678649902344
joint5,1.21,-0.18387211859226227,-0.15135593712329865
joint5,1.22,-0.19122719764709473,-0.15921099483966827
joint5,1.23,-0.1983935534954071,-0.16690407693386078
joint5,1.24,-0.2053641378879547,-0.1744273602962494
joint5,1.25,-0.2121320366859436,-0.18177326023578644
joint5,1.26,-0.21869058907032013,-0.1889343112707138
joint5,1.27,-0.22503332793712616,-0.1959032267332077
joint5,1.28,-0.23115397989749908,-0.2026730477809906
joint5,1.29,-0.2370465099811554,-0.20923691987991333
joint5,1.3,-0.2427050918340683,-0.21558821201324463
joint5,1.31,-0.2481241673231125,-0.22172047197818756
joint5,1.32,-0.2532983720302582,-0.227627694606781
joint5,1.33,-0.2582226097583771,-0.23330390453338623
joint5,1.34,-0.2628920078277588,-0.23874342441558838
joint5,1.35,-0.2673019468784332,-0.24394093453884125
joint5,1.36,-0.2714481055736542,-0.24889123439788818
joint5,1.37,-0.2753264009952545,-0.25358954071998596
joint5,1.38,-0.27893295884132385,-0.2580311596393585
joint5,1.39,-0.28226423263549805,-0.2622116804122925
joint5,1.4,-0.28531694412231445,-0.2661271095275879
joint5,1.41,-0.2880881130695343,-0.2697737216949463
joint5,1.42,-0.29057493805885315,-0.2731480002403259
joint5,1.43,-0.29277503490448,-0.2762465178966522
joint5,1.44,-0.2946861684322357,-0.2790662944316864
joint5,1.45,-0.2963064908981323,-0.2816045880317688
joint5,1.46,-0.29763442277908325,-0.2838590443134308
joint5,1.47,-0.29866859316825867,-0.2858273684978485
joint5,1.48,-0.2994080185890198,-0.2875077426433563
joint5,1.49,-0.2998519539833069,-0.2888985574245453
joint5,1.5,-0.30000001192092896,-0.28999826312065125
joint5,1.51,-0.2998519539833069,-0.290805846452713
joint5,1.52,-0.2994080185890198,-0.2913205623626709
joint5,1.53,-0.29866859316825867,-0.2915418744087219
joint5,1.54,-0.29763442277908325,-0.2914694547653198
joint5,1.55,-0.2963064908981323,-0.29110342264175415
joint5,1.56,-0.2946861684322357,-0.29044410586357117
joint5,1.57,-0.29277503490448,-0.2894921898841858
joint5,1.58,-0.29057493805885315,-0.2882484495639801
joint5,1.59,-0.2880881130695343,-0.2867140769958496
joint5,1.6,-0.28531694412231445,-0.2848905622959137
joint5,1.61,-0.28226423263549805,-0.2827798128128052
joint5,1.62,-0.27893295884132385,-0.2803835868835449
joint5,1.63,-0.2753264009952545,-0.2777044475078583
joint5,1.64,-0.2714481055736542,-0.2747449278831482
joint5,1.65,-0.2673019468784332,-0.2715080678462982
joint5,1.66,-0.2628920078277588,-0.26799702644348145
joint5,1.67,-0.2582226097583771,-0.26421523094177246
joint5,1.68,-0.2532983720302582,-0.26016637682914734
joint5,1.69,-0.2481241673231125,-0.25585466623306274
joint5,1.7,-0.2427050918340683,-0.2512841522693634
joint5,1.71,-0.2370465099811554,-0.24645943939685822
joint5,1.72,-0.23115397989749908,-0.2413852959871292
joint5,1.73,-0.22503332793712616,-0.2360667586326599
joint5,1.74,-0.21869058907032013,-0.2305091917514801
joint5,1.75,-0.2121320366859436,-0.22471807897090912
joint5,1.76,-0.2053641378879547,-0.2186991572380066
joint5,1.77,-0.1983935534954071,-0.21245844662189484
joint5,1.78,-0.19122719764709473,-0.20600208640098572
joint5,1.79,-0.18387211859226227,-0.19933652877807617
joint5,1.8,-0.17633557319641113,-0.19246834516525269
joint5,1.81,-0.16862501204013824,-0.185404434800148
joint5,1.82,-0.16074803471565247,-0.17815172672271729
joint5,1.83,-0.15271241962909698,-0.17071744799613953
joint5,1.84,-0.14452610909938812,-0.16310898959636688
joint5,1.85,-0.13619714975357056,-0.15533384680747986
joint5,1.86,-0.12773378193378448,-0.14739976823329926
joint5,1.87,-0.11914436519145966,-0.13931456208229065
joint5,1.88,-0.11043736338615417,-0.13108617067337036
joint5,1.89,-0.10162137448787689,-0.1227228119969368
joint5,1.9,-0.09270510077476501,-0.11423273384571075
joint5,1.91,-0.08369733393192291,-0.10562434792518616
joint5,1.92,-0.07460696250200272,-0.09690611809492111
joint5,1.93,-0.06544297188520432,-0.08808674663305283
joint5,1.94,-0.05621439591050148,-0.07917486131191254
joint5,1.95,-0.04693033918738365,-0.07017930597066879
joint5,1.96,-0.037599969655275345,-0.06110895052552223
joint5,1.97,-0.028232494369149208,-0.05197276547551155
